Company Name,Title,Job Location,Job Description
"

HP",Data Scientist Intern for Enterprise Analytics,"Austin, TX 78728 (Wells Branch area)","HP Inc is seeking people across the United States who can provide immediate support to our current needs and also assist in moving the Big Data Analytics agenda forward. The right individual will be a self-starter, who can provide analysis to a variety of business challenges and help drive best in class financial processes for our organization.
Role Description
The Advanced Analytics intern will work with business teams in HP to understand business requirements and develop optimal solutions Machine learning techniques. Participates as a member of development team. Performs basic analysis of functional or business requirements.
Job Description
We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products and solutions to our customer. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Skills and Qualifications
Currently enrolled in a Master's program
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Great communication skills
Experience with data visualisation tools.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills in R or python
Data-oriented personality
Knowledge of AWS or Azure cloud is desirable.
Knowledge of Big data platforms and tools ( like Hadoop) is desirable
Knowledge of ETL tools is desirable
#LI-POST"
"

LOCKHEED MARTIN CORPORATION",Data Scientist,"Fort Worth, TX 76108","Applicant will be required to develop, inspect, and transform data to raise productivity and improve decision making for the F-35 Fleet. Candidate will conduct statistical analysis on data and information to ensure correct predictive forecasting can be accomplished and managed. Candidate will manage all aspects of end to end data processing utilizing customized report building functions of systems, maintains analytical systems, verifies the accuracy of the data and acts as liaison for Sustaining Engineering team. Works with technical developers to define business outcomes and govern capabilities.

Must be a US citizen or authorized to work in the United States on a permanent basis. This position requires special access.
Basic Qualifications:
Experience working on the F-35 program.
Experience with data analysis/metrics
Project/program management experience
Bachelors degree from an accredited college in a STEM discipline, or equivalent experience/combined education
Desired Skills:
Certification in Black Belt or Green Belt certification.
Advanced Data Analysis

Experience leading Change Initiatives including driving and measuring improvement results.
Experience delivering presentations to leadership.
Experience working with cross functional teams.
Demonstrated ability to communicate with internal and
external customers in a dynamic environment.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional"
"

Shell",Data Scientist,"Houston, TX","The Role
What’s the role?

The Data Scientist role is responsible for applying Data Science, i.e. Machine Learning and Statistics in a broader sense, to business problems. Works with Business Analysts and business SME/users to assess opportunities, review expected outputs. Is responsible to deliver the analytics aspects of projects like developing analytical algorithms, statistical models, and analytical tools. Has the responsibility for the quality of the offered solutions and manages all Data Science aspects of own projects. Builds solutions that are useful to the end-users, and scalable within the existing software landscape.

The role is responsible for development & delivery of analytic solutions in an agile fashion to the business in order to provide insights & improvement to business processes. Data scientists use data and their analytical ability to find and interpret rich data sources; manage large amounts of data; merge data sources; ensure consistency of datasets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings and produce and present results with dashboards.

Accountabilities:
Accountable for preparing a Work Scope for a Data Science Service.
Accountable for executing the Data Science Work Scope.
Accountable for initiating Final Review of the Data Science Service/Work.
Accountable for the Closeout, Quality Review and Customer Satisfaction Survey.
Within the defined scope of the Analytics discipline:
Accountable for maintaining Policies and Standards for Information and Data analytics.
Accountable for execution of Enterprise Improvement Plan for Information and Data analytics.

Requirements
What we need from you
Must have legal authorization to work in the US on a full-time basis for anyone other than current employer.
Bachelor’s degree in Statistics, Mathematics, Theoretical Science, Operational Research or Computer Science. Master’s degree preferred.
Minimum 3 years of relevant experience with and analyzing large data sets, with an ability to write code.
This position requires business knowledge of the following:
Hands-on code development (R, Python, MatLab, SAS).
Use of advanced analytics technology in the context of application deployment
Knowledge of data source extraction (ETL) is desirable (HANA, SQL, Oracle, SharePoint, Hadoop, Spark)
Experience in data science delivery in a corporate environment is desirable.
Must have strong technical skills to develop advanced analytics algorithms/models.
Skilled in data design integrity.
Skilled in value exploitation.
Company Description
Shell is a global group of energy and petrochemical companies with about 84,000 employees across more than 70 countries. We aim to meet the world’s growing need for more and cleaner energy solutions in ways that are economically, environmentally and socially responsible. We have expertise in exploration, production, refining and marketing of oil and natural gas, and the manufacturing and marketing of chemicals. As a global energy company operating in a challenging world, we set high standards of performance and ethical behaviors. We are judged by how we act and how we live up to our core values of honesty, integrity and respect for people. Our Business Principles are based on these. They promote trust, openness, teamwork and professionalism, as well as pride in what we do and how we conduct business. Building on our core values, we aspire to sustain a diverse and inclusive culture where everyone feels respected and valued, from our employees to our customers and partners. A diverse workforce and an inclusive work environment are vital to our success, leading to greater innovation and better energy solutions.

An innovative place to work

There’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.

Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy or developing technology that helps the world to use energy more efficiently.

An inclusive place to work

To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we’re nurturing an inclusive environment – one where you can express your ideas, extend your skills and reach your potential…
We’re creating a space where people with disabilities can excel through transparent recruitment process, workplace adjustments and ongoing support in their roles. Feel free to let us know about your circumstances when you apply, and we’ll take it from there.
We’re closing the gender gap – whether that’s through action on equal pay or by enabling more women to reach senior roles in engineering and technology.
We’re striving to be a pioneer of an inclusive and diverse workplace, promoting equality for employees regardless of sexual orientation or gender identity.
We consider ourselves a flexible employer and want to support you finding the right balance. We encourage you to discuss this with us in your application.

A rewarding place to work

Combine our creative, collaborative environment and global operations with an impressive range of benefits and joining Shell becomes an inspired career choice.

We’re huge advocates for career development. We’ll encourage you to try new roles and experience new settings. By pushing people to reach their potential, we frequently help them find skills they never knew they had, or make career moves they never thought possible.

Disclaimer
Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.

Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.

The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.

Shell participates in E-Verify.

All qualified applicants will receive consideration for employment without regard to race, color, sex, national origin, age, religion, disability, sexual orientation, gender identity, protected veteran status, citizenship, genetic information or other protected status under federal, state or local laws.

Shell is an Equal Opportunity Employer - Minorities/Females/Veterans/Disability."
"

id Software",Data Scientist,"Dallas, TX","Overview
id Software is seeking a Data Scientist to join our development team. This role is an opportunity to contribute to a new initiative to substantially increase our teams’ ability to make data-driven decisions throughout the development and operation of our games.
Qualifications
Bachelor’s degree in a quantitative field (Statistics, Mathematics, Engineering, Computer Science, etc.) or equivalent work experience
Understanding of statistical techniques relevant to data analysis
Experience with effective use of query languages (SQL, KQL, etc.)
Experience with a programming or scripting language
Strong analytical, organizational, and multitasking skills
Responsibilities
Design quantitative measures and analysis from development artifacts to understand and improve the development cycle on idTech games across multiple studios.
Analyze live and historic game data for insights
Design experiments to test hypotheses about player behavior and user experience
Transform questions about the player’s experience into the design of the right instrumentation to measure game mechanics and systems
Collaborate with DevOps to define requirements supporting data collection and storage
Work with the User Research group to deliver quantitative measurements from playtests
Create visualizations to share findings with team leadership, designers, and other stakeholders
Monitor game data over time to validate business measures and quantify the effects of marketing campaigns and updates to the game experience
Preferred Skills
Experience playing DOOM and other games
Game industry experience or familiarity with the software development lifecycle
Experience with creating compelling visualizations in data tools like Altair/Vega, D3, Jupyter Notebooks, Kibana, Grafana, Tableau, PowerBI, etc.
Experience with the costs and benefits of various data stores (MongoDB, DynamoDB, Elasticsearch, etc)
Familiarity with data lake and data warehouse storage patterns
Strong Python development skills and familiar with Python-based data science libraries.
Familiarity with other data analysis and reporting languages, software, and systems
In building this new initiative, we have the opportunity to build a successful team from applicants with different levels of experience and expertise."
"

CGG",Data Scientist,"Houston, TX","CGG is a recognized leader in subsurface imaging and our international teams are dedicated to solving our clients’ complex challenges. Come and join us to help build the most stunning images of the Earth's subsurface, using our massive computers capability. Thanks to our talented people and in-house technology, CGG is unique in the geoscience sector.
Job Description
CGG is currently looking for a creative and results-focused individual who enjoys working on open-ended problems. Your customers are world-class seismic imagers who strive to image the subsurface with a high degree of accuracy and resolution. Your challenge is to analyze the computational activities and demands of seismic imaging and, with your insights, propose solutions and applications for realms widely ranging from resource scheduling and allocations to automation of imaging-related computations in our HPC environment. In a nutshell, we expect you to propose solutions to known problems and also identify new areas where you can add value with your expertise.
We want people who can work with a team to decide what to look for, and who also have the technical ability to go get it. Interest in data mining and machine learning is key, since these are the two areas where you may specialize. You will participate as an engineer on a development team, writing, testing, and deploying code to achieve your goals. We want you if you are an independent thinker and capable of analyzing requirements, extracting data for analysis, and developing algorithms and tools. We process seismic data at the petascale and warehouse information at the terascale. The stakes are high, but your impact can be higher.
Must have current U.S. work authorization or qualify for sponsorship
Qualifications
Ph.D.in Computer Science, Math, Statistics, Physics or a closely related field but an equivalent combination of educationand experience will be considered
Proven Machine Learning experience
Professional experience with Deep Learning Neural Network building
Demonstrated experience with Deep Learning Framework such as Tensorflow and Keras
Experience and/or education in at least one of the fields of Big Data, Data Mining, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & Visualization
Knowledge of relational databases, data modeling, and schema normalization techniques
Familiar with SQL
Passion for solving complex data engineering and modeling tasks
Ability to perform testing based on different hypotheses to determine the impact on key performance indicators
Excellent analytical skills and the ability to work in a collaborative team environment
Preferred:
Experience in programming (high performance computing is a plus) and developing databases
Knowledge and experience with UNIX (Linux), Java, and XML
Knowledge of Perl, R, and Spark
Expertise in designing and implementing efficient algorithms
We wish to thank all applicants for their interest; however, only those candidates selected for an interview will be contacted. EOE
Our focus on performance and passion for innovation are powered by people
Our greatest resource is you
Additional Information
All your information will be kept confidential according to EEO guidelines.
I'm interested"
"
Verveba Analytics",Data Scientist,"Richardson, TX","Multiple Openings
Job Description
We are looking for a Data Scientist with a will for experimentation and exploring various data sets. Responsible for design and implementation of large-scale data sets using data mining, modeling and research techniques. Perform data studies and data discovery for new data sources or new uses for existing data sources. Perform statistical analyses with existing data sets in statistical packages such as SAS, SPSS, R or Weka.
Experience:
3 + yrs Experience with data mining techniques and practices (filtering, classification) and analytics functions (over, median, rank).2+ yrs Experience with presenting outcomes of Analytic Models and Iterations in a format easily understood by business.3+ yrs Experience with statistical modeling and simulation tools like R, SAS and SPSS.2+ yrs Familiar with machine learning frameworks like Mahout and data mining algorithms like Bayesian and Clustering.Familiar with Cloudera or HortonWorks Platform.Familiar with Hadoop tools/languages such as Python, Pig, Hive, Hadoop Streaming, Sqoop, Oozie, etc.Experience working with very large data sets, grouping together data and visualizing results.Prefer experience with some Java / python / simple map-reduce jobs development.

Education:

Bachelors of Science in Information Systems Technology, Computer Science or Engineering preferred."
"

Applus",Data Scientist,"Sugar Land, TX","Company Bio
Kiefner and Associates, Inc., an Applus RTD company, is a well-established engineering consultancy with headquarters in Columbus, Ohio. Kiefner provides the oil & gas industry with safety and reliability services.
We offer a broad range of consulting services including fitness for service, failure analysis and material testing, stress analysis, inline inspection qualification, and training workshops.

Position Purpose
 Responsibilities of the Data Scientist include conducting data analytics, statistical and probabilistic modeling, optimization, data scrubbing, standardization, developing and enhancing algorithms and data analysis methodologies, and data validation on projects related to midstream and downstream energy sectors. Support Kiefner by providing integrity assurance services to the oil & gas industry; particularly the midstream.
Duties and Responsibilities
Initiate, execute, and close out projects within time and budget
Work independently or as member of a small team
Prepare technical reports and presentations
Represent Kiefner at industry conferences, trade shows, and committees
Follow Kiefner QHSE standards
Perform all other duties assigned
Supervisory Responsibilities
N/A
Knowledge and Skills
RapidMiner, R, Python, Matlab, @Risk, VBA
Neural networks
Naïve Bayes Classifier
Statistical tools and methodologies
Practical application of data science in engineering solutions
Ability to work on several assignments
Ability to communicate effectively; both verbally and in writing
Ability to work in a team environment
MS Office Suite of products
Firmly adhere to the values and ethics of Kiefner. Exhibit honesty, discretion, and sound judgment
Education and Work Experience
MSc or PhD in data science, applied mathematics, statistics, engineering
3+ years of experience in data science in and engineering domain (preferably midstream oil and gas)
1+ years in an engineering or consultancy environment
Employees must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position
Certificates and Licenses Required
N/A

Physical Activities and Requirements
The ability to listen to and understand information and ideas presented through spoken words and sentences
The ability to communicate information and ideas through speech so others will understand
The ability to read and understand information and ideas presented in writing
The ability to choose the right mathematical methods or formulas to solve a problem
The ability to see details at close range (within a few feet of the observer)
The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem
The ability to add, subtract, multiply, or divide quickly and correctly
Sitting: Remain sitting, particularly for sustained periods of time
Repetitive motions: Making substantial movements (motions) of the wrists, hands, and/or fingers
Dexterity: Picking, pinching, typing or otherwise working, primarily with fingers rather than with whole hand or arm as in handling
Talking: Expressing or exchanging ideas by means of the spoken word; those activities where detailed or important spoken instructions must be conveyed to other workers accurately, loudly, or quickly
Walking: Moving about on foot to accomplish tasks, particularly for long distances or moving from one work area to another
Hearing: Perceiving the nature of sounds at normal speaking levels with or without correction, and having the ability to receive detailed information through oral communication, and making fine discriminations in sound
Sedentary work: Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met
The worker is required to have close visual acuity to perform an activity such as: preparing and analyzing data and figures; transcribing; viewing a computer terminal; extensive reading at distances close to the eyes
In compliance with American with Disabilities Act (ADA), Applus+ will make reasonable accommodations that are appropriate and consistent within our legal obligations
Working Conditions
The physical environment requires the employee to work inside an office environment, protected from weather conditions but not necessarily from temperature changes
Occasional visits to field sites will require employee to work both inside and outside in heat/cold, wet/humid, and dry/arid conditions in temperature extremes and inclement weather
The noise level in the work environment is usually quiet to moderate
Ability to travel when required, nationally, up to 20% of the time
No relocation is considered for this position"
"

SailPoint",Data Science Interns,"Austin, TX 78730","SailPoint is seeking Data Science Interns to join our team of, data scientists, engineers, and designers to deliver the next generation of Machine-Learning-powered solutions. At S ailPoint , you will work on the latest tools in Machine Learning, Big Data, Cloud Computing, Graph Databases to solve challenging problems. This is a paid internship that requires a highly motivated and results-driven personality who will thrive in a fast-paced environment. This is an excellent opportunity for an individual who wants to work as part of a skilled team to gain valuable experience in Data Science or Data Engineering developing actual products.


Qualifications:


Sophomore, Junior, or Senior of a four-year university with Data Science concentration , or postgraduate students in Math/Physics/Statistics/Data Science .


Availability to work full-time during the Summer or at least part-time during the Fall and Spring academic terms .


Expertise in R, Python .
Experience with data querying tools e.g. SQL, Hive.


Detail-oriented self-starter who can independently manage deadlines .


Positive attitude and team player .


Preferred Qualifications:


Expertise in Machine Learning algorithms and techniques .
Experience with PySpark, Scala.


Experience with High Performance computing , e.g. Python’s dask.
Experience with visualization and DS web app prototyping tools, e.g. Shiny, Plotly’s dash, flask.
Experience with Big Data tools.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status."
"

Federal Reserve Bank of Dallas",Data Scientist/IT Auditor,"Dallas, TX 75201","Data Scientist/IT Auditor-261879
Federal Reserve Bank of Dallas
Primary Location TX-Dallas
Full-time / Part-time Full-time
Employee Status Regular
Overtime Status Exempt
Job Type Experienced
Travel Yes, 5 % of the Time
Shift Day Job
Job Sensitivity Tier II - No Credit Check
About the Role

We are looking for an action-oriented Data Scientist/Auditor to provide the department with support in analyzing and presenting data using statistical analysis and data visualization techniques and best practices. The Data Scientist/Auditor is responsible for conducting and documenting assigned information technology audit projects, preparing well-documented work papers, and effectively communicating audit findings and recommendations. This individual will work in partnership with other team members and Bank employees to interpret qualitative and quantitative data in order to identify solutions to Bank-wide issues and problems.

You Will
Work collaboratively with Audit Management and staff to execute the annual audit plan
Seek to understand and define problems and concerns within the Bank that require the collection and analysis of data to support robust decision making
Provide recommendations on how to collect data, analyze the data and present recommendations to others based on their interpretation of the analyses
Ensure work is documented in accordance with the Institute of Internal Auditors International Standards for the Professional Practice of Internal Auditing and departmental procedures
Effectively document and communicate audit results to Audit department and Bank management
Serve as auditor-in-charge for low to moderate complexity audits under direct supervision of Audit department management, as appropriate
Perform follow-up on reported observations and document results.
Assist in the specification and design of electronic data collection, reporting and processing tools, including SharePoint, and other end user technologies with a focus on providing or processing analytical, status reporting and decision support information
Participate on department, district or system workgroups, projects, and initiatives, as well as System audit competency centers and knowledge forums, as appropriate
Serve as audit liaison for business areas of low to moderate complexity
You Will Bring
Bachelor’s degree in Business, Economics, Mathematics, Computer Science, Management Information Systems, Statistics or other business related field of study
Academic or professional experience in statistical analyses and the use of common statistical software tools, such as Tableau, SAS, SPSS and R
Strong critical thinking skills and the ability to communicate (verbally and in writing) effectively to a variety of audiences
Ability to work collaboratively across a variety of business units within the organization
Equivalent education and/or experience which may be substituted for any of the above requirements
The Team

You will work with 18 other team members, 17 that work in Dallas and 1 that works in our Houston office, all of them working towards being recognized as internal control and business process knowledge leaders who assurance and consulting services add value and identify opportunities for management to improve the Eleventh District’s and Federal Reserve System’s operations.

Our Benefits

You can select benefit plans that are the best fit for you at every stage of your career:
Health, dental and vision coverage that is tops in the nation and low-cost
Savings Thrift (401K) Plan with a 100% match up to 6%, including a pension plan
Free credit protection, financial planning, and flexible spending accounts or health savings accounts
Paid vacation and 11 paid Bank holidays; flexible work environment, healthy workflow
Opportunities to participate in employee resource groups to learn more about your colleagues, hone your leadership skills and contribute to causes you are passionate about
Healthy lifestyle assistance through an on-site fitness center, subsidized cafeteria with healthy food options, and a state-of-the-art working environment
Generously subsidized public transportation and free on-site underground parking
Annual tuition reimbursement: $15,000 graduate degree, $7,500 undergraduate degree
Barbeque Thursdays and so much more!
Why the Fed?

The Federal Reserve Bank of Dallas is dedicated to serving the public by partnering with communities and businesses, promoting jobs and stable prices, and keeping your money safe and available. We have opportunities aside from Finance and Banking Supervision and regulation that range from electricians to law enforcement, and many more. We welcome differing perspectives and are committed to maintaining an inclusive and diverse culture.

Notes:

This position may be filled at various levels based on candidate's qualifications as determined by the department.

Employment is contingent upon the selected candidate passing a criminal background check.

Are you ready to make a difference?

The Federal Reserve Bank of Dallas is proud to be an Equal Opportunity Employer that believes in the diversity of our people, ideas and experiences, and we are committed to building an inclusive culture that represents the communities we serve.

If you need special or additional accommodations during your interview process, please notify your Talent Acquisition Consultant.
."
"

JCPenney",Data Scientist - Site Search Relevancy,"Plano, TX","Location: Plano, TX, United States -

Job ID: 1087080
Corporate Positions
Technology
Job Type: Full-Time
Date Updated: Dec 20, 2019
Data Scientist - Site Search Relevancy - Ecommerce Product Group
We are looking for an experienced Data Scientist to join our Search and Findability team focused on utilizing advanced machine learning techniques to drive product discovery to new heights in their KPI performance. Our environment consists of a modern e-commerce stack where we utilize advanced technologies like machine learning and relevancy ranking. You will have a direct impact on the Search and Browse paths for millions of customers and drive conversions for millions of products on the way. As a successful Data Scientist on the Product team, you will be utilizing advanced data models and also work with an interdisciplinary team (Relevancy Engineers, UX Experts) while utilizing state-of-the-art tools (Snowflake, SOLR)
Primary Responsibilities:
Apply machine learning and data science models to optimize product rankings and sorting options.
Improve product discovery by improving Search Product and Relevancy Ranking algorithms
Collaborate with Relevancy Engineers and Data Science group – recommend new models/ model improvements
Extend/augment company data with third party data, enhance data collection procedures to include information required to build analytic systems
Assist with designing and building infrastructure to facilitate analytics and experimentation
Present results and make recommendations in a clear manner to senior leadership
Provide thought leadership and mentor data science community across the organization
Contribute in Scrum meetings and process (Agile environment)
Core Competencies & Accomplishments:
MS in Statistics, Computer Science, Applied Math, or a related quantitative field + 5-7 years’ experience in machine learning, data mining, or Relevancy Ranking
Excellent understanding of various machine learning techniques and their applications
Experience in data management, statistical analysis, and machine learning (e.g. Python, R, Spark, H20)
Strongly prefer experience in retail ecommerce or related domain
Strong customer service and communication skills, ability to interact with diverse team of people across business and engineering
What you get:
Our corporate office, located within the exciting new development of Legacy West in Plano, Texas, supports JCPenney stores and supply chain facilities nationwide. We offer a competitive benefits package including medical/dental/vision, term life insurance, paid vacation/holidays, 401(k) Savings Plan with company match, and an associate discount on JCPenney merchandise. On-site campus amenities include health clinic, pharmacy, daycare and preschool, full cafeteria service, a 24-hour fitness center and free garage parking.
About JCPenney:
At JCPenney, we share a passion for serving customers, supporting our communities and being the best retailer for all families. As a company founded on the Golden Rule, our success is rooted in the belief that we treat everyone the way we would want to be treated. At every touchpoint, customers discover stylish merchandise at incredible value from an extensive portfolio of private, exclusive and national brands. Reinforcing this shopping experience is the customer service and warrior spirit of approximately 98,000 associates across the globe, all driving toward the Company's mission to help customers find what they love for less time, money and effort.
Working at JCPenney means joining a dedicated team of associates who are encouraged to be uniquely themselves in a safe, caring and welcoming environment. It is a place where careers prosper, accomplishments are celebrated and diversity flourishes. It’s a place that’s meant for you.
For more opportunities to join our team please visit our careers page.
Follow us and see what’s new: Instagram Facebook Twitter LinkedIn Pinterest Media Room jcp.com
#LI-RP1"
